Compound_ID,Scaffold,Substituent,SMILES,MW,LogP,HBD,HBA,TPSA,RotB
GF_Pip_OH_F_OCH3,Pip_OH_F,OCH3,COc1cc2ncnc(Nc3ccc(F)c(O)c3)c2cc1OCCCN1CCNCC1,427.48,2.9,3,8,91.77,10
GF_Pip_OH_F_OH,Pip_OH_F,OH,Oc1cc(Nc2ncnc3cc(O)c(OCCCN4CCNCC4)cc23)ccc1F,413.45,2.6,4,8,102.77,9
GF_Pip_OH_F_NH2,Pip_OH_F,NH2,Nc1cc2ncnc(Nc3ccc(F)c(O)c3)c2cc1OCCCN1CCNCC1,412.47,2.47,4,8,108.56,9
GF_Pip_OH_F_NO2,Pip_OH_F,NO2,O=[N+]([O-])c1cc2ncnc(Nc3ccc(F)c(O)c3)c2cc1OCCCN1CCNCC1,442.45,2.8,3,9,125.68,9
GF_Pip_F_F_OCH3,Pip_F_F,OCH3,COc1cc2ncnc(Nc3ccc(F)c(F)c3)c2cc1OCCCN1CCNCC1,429.47,3.33,2,7,71.54,9
GF_Pip_F_F_OH,Pip_F_F,OH,Oc1cc2ncnc(Nc3ccc(F)c(F)c3)c2cc1OCCCN1CCNCC1,415.44,3.03,3,7,82.54,8
GF_Pip_F_F_NH2,Pip_F_F,NH2,Nc1cc2ncnc(Nc3ccc(F)c(F)c3)c2cc1OCCCN1CCNCC1,414.46,2.91,3,7,88.33,8
GF_Pip_F_F_NO2,Pip_F_F,NO2,O=[N+]([O-])c1cc2ncnc(Nc3ccc(F)c(F)c3)c2cc1OCCCN1CCNCC1,444.44,3.23,2,8,105.45,8
GF_Pip_Cl_F_OCH3,Pip_Cl_F,OCH3,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCNCC1,445.93,3.85,2,7,71.54,9
GF_Pip_Cl_F_OH,Pip_Cl_F,OH,Oc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCNCC1,431.9,3.55,3,7,82.54,8
GF_Pip_Cl_F_NH2,Pip_Cl_F,NH2,Nc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCNCC1,430.91,3.42,3,7,88.33,8
GF_Pip_Cl_F_NO2,Pip_Cl_F,NO2,O=[N+]([O-])c1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCNCC1,460.9,3.75,2,8,105.45,8
GF_Pip_Cl_OH_OCH3,Pip_Cl_OH,OCH3,COc1cc2ncnc(Nc3ccc(O)c(Cl)c3)c2cc1OCCCN1CCNCC1,443.93,3.42,3,8,91.77,10
GF_Pip_Cl_OH_OH,Pip_Cl_OH,OH,Oc1ccc(Nc2ncnc3cc(O)c(OCCCN4CCNCC4)cc23)cc1Cl,429.91,3.11,4,8,102.77,9
GF_Pip_Cl_OH_NH2,Pip_Cl_OH,NH2,Nc1cc2ncnc(Nc3ccc(O)c(Cl)c3)c2cc1OCCCN1CCNCC1,428.92,2.99,4,8,108.56,9
GF_Pip_Cl_OH_NO2,Pip_Cl_OH,NO2,O=[N+]([O-])c1cc2ncnc(Nc3ccc(O)c(Cl)c3)c2cc1OCCCN1CCNCC1,458.91,3.31,3,9,125.68,9
GF_Pip_F_Cl_OCH3,Pip_F_Cl,OCH3,COc1cc2ncnc(Nc3ccc(Cl)c(F)c3)c2cc1OCCCN1CCNCC1,445.93,3.85,2,7,71.54,9
GF_Pip_F_Cl_OH,Pip_F_Cl,OH,Oc1cc2ncnc(Nc3ccc(Cl)c(F)c3)c2cc1OCCCN1CCNCC1,431.9,3.55,3,7,82.54,8
GF_Pip_F_Cl_NH2,Pip_F_Cl,NH2,Nc1cc2ncnc(Nc3ccc(Cl)c(F)c3)c2cc1OCCCN1CCNCC1,430.91,3.42,3,7,88.33,8
GF_Pip_F_Cl_NO2,Pip_F_Cl,NO2,O=[N+]([O-])c1cc2ncnc(Nc3ccc(Cl)c(F)c3)c2cc1OCCCN1CCNCC1,460.9,3.75,2,8,105.45,8
GF_Pip_Cl_H_OCH3,Pip_Cl_H,OCH3,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OCCCN1CCNCC1,427.94,3.71,2,7,71.54,9
GF_Pip_Cl_H_OH,Pip_Cl_H,OH,Oc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OCCCN1CCNCC1,413.91,3.41,3,7,82.54,8
GF_Pip_Cl_H_NH2,Pip_Cl_H,NH2,Nc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OCCCN1CCNCC1,412.92,3.28,3,7,88.33,8
GF_Pip_Cl_H_NO2,Pip_Cl_H,NO2,O=[N+]([O-])c1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OCCCN1CCNCC1,442.91,3.61,2,8,105.45,8
GF_Pip_Br_F_OCH3,Pip_Br_F,OCH3,COc1cc2ncnc(Nc3ccc(F)c(Br)c3)c2cc1OCCCN1CCNCC1,490.38,3.96,2,7,71.54,9
GF_Pip_Br_F_OH,Pip_Br_F,OH,Oc1cc2ncnc(Nc3ccc(F)c(Br)c3)c2cc1OCCCN1CCNCC1,476.35,3.65,3,7,82.54,8
GF_Pip_Br_F_NH2,Pip_Br_F,NH2,Nc1cc2ncnc(Nc3ccc(F)c(Br)c3)c2cc1OCCCN1CCNCC1,475.37,3.53,3,7,88.33,8
GF_Pip_OH_Cl_OCH3,Pip_OH_Cl,OCH3,COc1cc2ncnc(Nc3ccc(Cl)c(O)c3)c2cc1OCCCN1CCNCC1,443.93,3.42,3,8,91.77,10
GF_Pip_OH_Cl_OH,Pip_OH_Cl,OH,Oc1cc(Nc2ncnc3cc(O)c(OCCCN4CCNCC4)cc23)ccc1Cl,429.91,3.11,4,8,102.77,9
GF_Pip_OH_Cl_NH2,Pip_OH_Cl,NH2,Nc1cc2ncnc(Nc3ccc(Cl)c(O)c3)c2cc1OCCCN1CCNCC1,428.92,2.99,4,8,108.56,9
GF_Pip_OH_Cl_NO2,Pip_OH_Cl,NO2,O=[N+]([O-])c1cc2ncnc(Nc3ccc(Cl)c(O)c3)c2cc1OCCCN1CCNCC1,458.91,3.31,3,9,125.68,9
GF_Pip_F_OH_OCH3,Pip_F_OH,OCH3,COc1cc2ncnc(Nc3ccc(O)c(F)c3)c2cc1OCCCN1CCNCC1,427.48,2.9,3,8,91.77,10
GF_Pip_F_OH_OH,Pip_F_OH,OH,Oc1ccc(Nc2ncnc3cc(O)c(OCCCN4CCNCC4)cc23)cc1F,413.45,2.6,4,8,102.77,9
GF_Pip_F_OH_NH2,Pip_F_OH,NH2,Nc1cc2ncnc(Nc3ccc(O)c(F)c3)c2cc1OCCCN1CCNCC1,412.47,2.47,4,8,108.56,9
GF_Pip_F_OH_NO2,Pip_F_OH,NO2,O=[N+]([O-])c1cc2ncnc(Nc3ccc(O)c(F)c3)c2cc1OCCCN1CCNCC1,442.45,2.8,3,9,125.68,9
GF_Pip_OH_Br_OCH3,Pip_OH_Br,OCH3,COc1cc2ncnc(Nc3ccc(Br)c(O)c3)c2cc1OCCCN1CCNCC1,488.39,3.52,3,8,91.77,10
GF_Pip_OH_Br_OH,Pip_OH_Br,OH,Oc1cc(Nc2ncnc3cc(O)c(OCCCN4CCNCC4)cc23)ccc1Br,474.36,3.22,4,8,102.77,9
GF_Pip_OH_Br_NH2,Pip_OH_Br,NH2,Nc1cc2ncnc(Nc3ccc(Br)c(O)c3)c2cc1OCCCN1CCNCC1,473.37,3.1,4,8,108.56,9
GF_Pip_OH_H_OCH3,Pip_OH_H,OCH3,COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OCCCN1CCNCC1,409.49,2.76,3,8,91.77,10
GF_Pip_OH_H_OH,Pip_OH_H,OH,Oc1cccc(Nc2ncnc3cc(O)c(OCCCN4CCNCC4)cc23)c1,395.46,2.46,4,8,102.77,9
GF_Pip_OH_H_NH2,Pip_OH_H,NH2,Nc1cc2ncnc(Nc3cccc(O)c3)c2cc1OCCCN1CCNCC1,394.48,2.34,4,8,108.56,9
GF_Pip_OH_H_NO2,Pip_OH_H,NO2,O=[N+]([O-])c1cc2ncnc(Nc3cccc(O)c3)c2cc1OCCCN1CCNCC1,424.46,2.66,3,9,125.68,9
GF_Pip_F_Br_OCH3,Pip_F_Br,OCH3,COc1cc2ncnc(Nc3ccc(Br)c(F)c3)c2cc1OCCCN1CCNCC1,490.38,3.96,2,7,71.54,9
GF_Pip_F_Br_OH,Pip_F_Br,OH,Oc1cc2ncnc(Nc3ccc(Br)c(F)c3)c2cc1OCCCN1CCNCC1,476.35,3.65,3,7,82.54,8
GF_Pip_F_Br_NH2,Pip_F_Br,NH2,Nc1cc2ncnc(Nc3ccc(Br)c(F)c3)c2cc1OCCCN1CCNCC1,475.37,3.53,3,7,88.33,8
GF_Pip_F_H_OCH3,Pip_F_H,OCH3,COc1cc2ncnc(Nc3cccc(F)c3)c2cc1OCCCN1CCNCC1,411.48,3.2,2,7,71.54,9
GF_Pip_F_H_OH,Pip_F_H,OH,Oc1cc2ncnc(Nc3cccc(F)c3)c2cc1OCCCN1CCNCC1,397.45,2.89,3,7,82.54,8
GF_Pip_F_H_NH2,Pip_F_H,NH2,Nc1cc2ncnc(Nc3cccc(F)c3)c2cc1OCCCN1CCNCC1,396.47,2.77,3,7,88.33,8
GF_Pip_F_H_NO2,Pip_F_H,NO2,O=[N+]([O-])c1cc2ncnc(Nc3cccc(F)c3)c2cc1OCCCN1CCNCC1,426.45,3.09,2,8,105.45,8
GF_Pip_OH_OH_OCH3,Pip_OH_OH,OCH3,COc1cc2ncnc(Nc3ccc(O)c(O)c3)c2cc1OCCCN1CCNCC1,425.49,2.47,4,9,112.0,11
GF_Pip_OH_OH_OH,Pip_OH_OH,OH,Oc1ccc(Nc2ncnc3cc(O)c(OCCCN4CCNCC4)cc23)cc1O,411.46,2.16,5,9,123.0,10
GF_Pip_OH_OH_NH2,Pip_OH_OH,NH2,Nc1cc2ncnc(Nc3ccc(O)c(O)c3)c2cc1OCCCN1CCNCC1,410.48,2.04,5,9,128.79,10
GF_Pip_Cl_Cl_OCH3,Pip_Cl_Cl,OCH3,COc1cc2ncnc(Nc3ccc(Cl)c(Cl)c3)c2cc1OCCCN1CCNCC1,462.38,4.36,2,7,71.54,9
GF_Pip_Cl_Cl_OH,Pip_Cl_Cl,OH,Oc1cc2ncnc(Nc3ccc(Cl)c(Cl)c3)c2cc1OCCCN1CCNCC1,448.35,4.06,3,7,82.54,8
GF_Pip_Cl_Cl_NH2,Pip_Cl_Cl,NH2,Nc1cc2ncnc(Nc3ccc(Cl)c(Cl)c3)c2cc1OCCCN1CCNCC1,447.37,3.94,3,7,88.33,8
GF_Pip_Cl_Cl_NO2,Pip_Cl_Cl,NO2,O=[N+]([O-])c1cc2ncnc(Nc3ccc(Cl)c(Cl)c3)c2cc1OCCCN1CCNCC1,477.35,4.26,2,8,105.45,8
GF_Pip_H_Cl_OCH3,Pip_H_Cl,OCH3,COc1cc2ncnc(Nc3ccc(Cl)cc3)c2cc1OCCCN1CCNCC1,427.94,3.71,2,7,71.54,9
GF_Pip_H_Cl_OH,Pip_H_Cl,OH,Oc1cc2ncnc(Nc3ccc(Cl)cc3)c2cc1OCCCN1CCNCC1,413.91,3.41,3,7,82.54,8
GF_Pip_H_Cl_NH2,Pip_H_Cl,NH2,Nc1cc2ncnc(Nc3ccc(Cl)cc3)c2cc1OCCCN1CCNCC1,412.92,3.28,3,7,88.33,8
GF_Pip_H_Cl_NO2,Pip_H_Cl,NO2,O=[N+]([O-])c1cc2ncnc(Nc3ccc(Cl)cc3)c2cc1OCCCN1CCNCC1,442.91,3.61,2,8,105.45,8
GF_Mor_Cl_F_OCH3,Mor_Cl_F,OCH3,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,446.91,4.28,1,7,68.74,9
GF_Mor_Cl_F_OH,Mor_Cl_F,OH,Oc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,432.88,3.97,2,7,79.74,8
GF_Mor_Cl_F_NH2,Mor_Cl_F,NH2,Nc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,431.9,3.85,2,7,85.53,8
GF_Mor_Cl_F_NO2,Mor_Cl_F,NO2,O=[N+]([O-])c1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,461.88,4.18,1,8,102.65,8
GF_Mor_H_F_OCH3,Mor_H_F,OCH3,COc1cc2ncnc(Nc3ccc(F)cc3)c2cc1OCCCN1CCOCC1,412.46,3.62,1,7,68.74,9
GF_Mor_H_F_OH,Mor_H_F,OH,Oc1cc2ncnc(Nc3ccc(F)cc3)c2cc1OCCCN1CCOCC1,398.44,3.32,2,7,79.74,8
GF_Mor_H_F_NH2,Mor_H_F,NH2,Nc1cc2ncnc(Nc3ccc(F)cc3)c2cc1OCCCN1CCOCC1,397.45,3.2,2,7,85.53,8
GF_Mor_H_F_NO2,Mor_H_F,NO2,O=[N+]([O-])c1cc2ncnc(Nc3ccc(F)cc3)c2cc1OCCCN1CCOCC1,427.44,3.52,1,8,102.65,8
GF_Mor_OH_F_OCH3,Mor_OH_F,OCH3,COc1cc2ncnc(Nc3ccc(F)c(O)c3)c2cc1OCCCN1CCOCC1,428.46,3.33,2,8,88.97,10
GF_Mor_OH_F_OH,Mor_OH_F,OH,Oc1cc(Nc2ncnc3cc(O)c(OCCCN4CCOCC4)cc23)ccc1F,414.44,3.02,3,8,99.97,9
GF_Mor_OH_F_NH2,Mor_OH_F,NH2,Nc1cc2ncnc(Nc3ccc(F)c(O)c3)c2cc1OCCCN1CCOCC1,413.45,2.9,3,8,105.76,9
GF_Mor_OH_F_NO2,Mor_OH_F,NO2,O=[N+]([O-])c1cc2ncnc(Nc3ccc(F)c(O)c3)c2cc1OCCCN1CCOCC1,443.43,3.23,2,9,122.88,9
GF_Mor_Cl_H_OCH3,Mor_Cl_H,OCH3,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OCCCN1CCOCC1,428.92,4.14,1,7,68.74,9
GF_Mor_Cl_H_OH,Mor_Cl_H,OH,Oc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OCCCN1CCOCC1,414.89,3.83,2,7,79.74,8
GF_Mor_Cl_H_NH2,Mor_Cl_H,NH2,Nc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OCCCN1CCOCC1,413.91,3.71,2,7,85.53,8
GF_Mor_Cl_H_NO2,Mor_Cl_H,NO2,O=[N+]([O-])c1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OCCCN1CCOCC1,443.89,4.04,1,8,102.65,8
