Compound_ID,Scaffold,R1_Tail,R2_Sub,R3_Sub,R4_Head,SMILES,MW,LogP,HBD,HBA,TPSA,RotB
GF_Quinazoline_Pip_F_OH_OCH3,Quinazoline,Pip,F,OH,OCH3,OCc1cc2ncnc(Nc3ccc(F)c(O)c3)c2cc1OCCCN1CCNCC1,427.48,2.38,4,8,102.77,10
GF_Quinazoline_Pip_F_F_OCH3,Quinazoline,Pip,F,F,OCH3,OCc1cc2ncnc(Nc3ccc(F)c(F)c3)c2cc1OCCCN1CCNCC1,429.47,2.82,3,7,82.54,9
GF_Quinazoline_Pip_F_Cl_OCH3,Quinazoline,Pip,F,Cl,OCH3,OCc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCNCC1,445.93,3.33,3,7,82.54,9
GF_Quinazoline_Pip_OH_OH_OCH3,Quinazoline,Pip,OH,OH,OCH3,OCc1cc2ncnc(Nc3ccc(O)c(O)c3)c2cc1OCCCN1CCNCC1,425.49,1.95,5,9,123.0,11
GF_Quinazoline_Pip_OH_F_OCH3,Quinazoline,Pip,OH,F,OCH3,OCc1cc2ncnc(Nc3ccc(O)c(F)c3)c2cc1OCCCN1CCNCC1,427.48,2.38,4,8,102.77,10
GF_Quinazoline_Pip_OH_Cl_OCH3,Quinazoline,Pip,OH,Cl,OCH3,OCc1cc2ncnc(Nc3ccc(O)c(Cl)c3)c2cc1OCCCN1CCNCC1,443.93,2.9,4,8,102.77,10
GF_Quinazoline_Pip_Cl_OH_OCH3,Quinazoline,Pip,Cl,OH,OCH3,OCc1cc2ncnc(Nc3ccc(Cl)c(O)c3)c2cc1OCCCN1CCNCC1,443.93,2.9,4,8,102.77,10
GF_Quinazoline_Pip_Cl_F_OCH3,Quinazoline,Pip,Cl,F,OCH3,OCc1cc2ncnc(Nc3ccc(Cl)c(F)c3)c2cc1OCCCN1CCNCC1,445.93,3.33,3,7,82.54,9
GF_Quinazoline_Pip_Cl_Cl_OCH3,Quinazoline,Pip,Cl,Cl,OCH3,OCc1cc2ncnc(Nc3ccc(Cl)c(Cl)c3)c2cc1OCCCN1CCNCC1,462.38,3.85,3,7,82.54,9
GF_Quinazoline_Mor_F_OH_OCH3,Quinazoline,Mor,F,OH,OCH3,OCc1cc2ncnc(Nc3ccc(F)c(O)c3)c2cc1OCCCN1CCOCC1,428.46,2.81,3,8,99.97,10
GF_Quinazoline_Mor_F_F_OCH3,Quinazoline,Mor,F,F,OCH3,OCc1cc2ncnc(Nc3ccc(F)c(F)c3)c2cc1OCCCN1CCOCC1,430.45,3.25,2,7,79.74,9
GF_Quinazoline_Mor_F_Cl_OCH3,Quinazoline,Mor,F,Cl,OCH3,OCc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,446.91,3.76,2,7,79.74,9
