Ligand,Affinity_kcal_mol
GF_Piperazine_1-F_2-OH,-9.433
GF_Piperazine_1-F_2-F,-9.414
GF_Piperazine_1-F_2-Cl,-9.355
GF_Piperazine_1-OH_2-Cl,-9.27
GF_Morpholine_1-F_2-Cl,-9.228
GF_Piperazine_1-Cl_2-F,-9.228
GF_Piperazine_1-H_2-Cl,-9.228
GF_Piperazine_1-F_2-Br,-9.222
GF_Piperazine_1-Cl_2-OH,-9.198
GF_Piperazine_1-OH_2-F,-9.184
GF_N-Methylpiperazine_1-F_2-OH,-9.132
GF_N-Methylpiperazine_1-F_2-Cl,-9.106
GF_Piperazine_1-Br_2-OH,-9.083
GF_N-Methylpiperazine_1-F_2-F,-9.069
GF_Piperazine_1-H_2-OH,-9.04
GF_Piperazine_1-Br_2-F,-9.014
GF_Piperazine_1-H_2-F,-9.008
GF_N-Methylpiperazine_1-Cl_2-F,-9.005
GF_N-Methylpiperazine_1-OH_2-F,-8.992
GF_N-Methylpiperazine_1-H_2-OH,-8.977
GF_Piperazine_1-OH_2-OH,-8.954
GF_N-Methylpiperazine_1-Cl_2-OH,-8.94
GF_Piperazine_1-Cl_2-Cl,-8.932
GF_Morpholine_1-F_2-H,-8.899
GF_Morpholine_1-F_2-OH,-8.885
GF_Morpholine_1-H_2-Cl,-8.845
GF_Morpholine_1-F_2-F,-8.841
GF_Piperazine_1-Cl_2-H,-8.836
GF_Morpholine_1-Br_2-F,-8.812
GF_N-Methylpiperazine_1-F_2-H,-8.81
GF_N-Methylpiperazine_1-OH_2-OH,-8.778
GF_N-Methylpiperazine_1-H_2-Cl,-8.774
GF_Morpholine_1-Cl_2-OH,-8.769
GF_N-Methylpiperazine_1-H_2-Br,-8.757
GF_Piperazine_1-F_2-H,-8.75
GF_Morpholine_1-Cl_2-F,-8.735
GF_Morpholine_1-OH_2-F,-8.734
GF_N-Methylpiperazine_1-OH_2-Cl,-8.715
GF_N-Methylpiperazine_1-Cl_2-H,-8.71
GF_Morpholine_1-H_2-F,-8.677
GF_N-Methylpiperazine_1-OH_2-H,-8.657
GF_N-Methylpiperazine_1-H_2-F,-8.642
GF_Morpholine_1-Cl_2-Cl,-8.612
GF_Piperazine_1-OH_2-H,-8.599
GF_Morpholine_1-H_2-Br,-8.593
GF_Morpholine_1-OH_2-OH,-8.583
GF_Piperazine_1-H_2-Br,-8.549
GF_Piperazine_1-OH_2-Br,-8.537
GF_Morpholine_1-F_2-Br,-8.531
GF_Morpholine_1-Cl_2-H,-8.477
GF_Morpholine_1-OH_2-H,-8.474
GF_Morpholine_1-Br_2-OH,-8.459
GF_Piperazine_1-Br_2-H,-8.412
GF_Morpholine_1-H_2-OH,-8.375
GF_N-Methylpiperazine_1-Cl_2-Cl,-8.327
GF_Morpholine_1-OH_2-Cl,-8.272
GF_N-Methylpiperazine_1-H_2-H,-8.269
GF_Morpholine_1-H_2-H,-8.242
GF_N-Methylpiperazine_1-Br_2-H,-8.241
GF_Piperazine_1-H_2-H,-8.235
GF_Morpholine_1-OH_2-Br,-8.217
GF_Morpholine_1-Br_2-H,-8.204
