Ligand,Affinity_kcal_mol
GF_NMP_OH_F_OCH3,-9.514
GF_Pip_F_Cl_OCH3,-9.498
GF_NMP_F_F_OCH3,-9.467
GF_Pip_OH_Cl_OCH3,-9.459
GF_Pip_OH_F_OCH3,-9.413
GF_Pip_F_F_OCH3,-9.411
GF_Pip_F_F_NO2,-9.389
GF_Pip_Cl_F_NO2,-9.362
GF_Pip_Cl_OH_NO2,-9.349
GF_Pip_F_OH_NO2,-9.335
GF_Pip_Cl_H_NO2,-9.306
GF_Pip_Cl_F_OCH3,-9.302
GF_Pip_F_Cl_NO2,-9.298
GF_NMP_F_Cl_OCH3,-9.295
GF_Pip_Cl_OH_OCH3,-9.278
GF_Pip_F_Br_OCH3,-9.246
GF_Pip_F_H_NO2,-9.231
GF_Pip_Cl_H_OCH3,-9.212
GF_Pip_OH_OH_OCH3,-9.182
GF_Pip_F_OH_OCH3,-9.177
GF_Pip_OH_F_NH2,-9.161
GF_Pip_Cl_Cl_OCH3,-9.146
GF_NMP_F_OH_OCH3,-9.14
GF_NMP_OH_Cl_OCH3,-9.119
GF_Pip_OH_F_OH,-9.096
GF_NMP_OH_H_OCH3,-9.092
GF_NMP_Cl_F_OCH3,-9.077
GF_Pip_OH_F_NO2,-9.07
GF_Mor_OH_F_OCH3,-9.064
GF_Pip_F_H_OCH3,-9.058
GF_Pip_OH_H_OCH3,-9.051
GF_Mor_F_F_OCH3,-9.036
GF_NMP_OH_F_NO2,-9.024
GF_Pip_OH_Br_OCH3,-9.004
GF_Pip_F_Br_NH2,-8.966
GF_NMP_H_F_NO2,-8.958
GF_NMP_OH_F_OH,-8.957
GF_NMP_OH_F_NH2,-8.953
GF_NMP_H_F_OCH3,-8.952
GF_Mor_Cl_F_NO2,-8.938
GF_NMP_Cl_F_NO2,-8.92
GF_Pip_F_Br_OH,-8.913
GF_Pip_OH_Cl_NO2,-8.895
GF_Pip_H_Cl_OCH3,-8.891
GF_NMP_F_F_NH2,-8.878
GF_Pip_F_F_NH2,-8.868
GF_Pip_OH_H_NH2,-8.868
GF_Pip_F_F_OH,-8.867
GF_NMP_F_Cl_NO2,-8.862
GF_NMP_OH_Cl_NH2,-8.861
GF_Pip_OH_H_NO2,-8.85
GF_Mor_Cl_H_NO2,-8.848
GF_Pip_Cl_Cl_NO2,-8.843
GF_NMP_OH_Cl_NO2,-8.836
GF_Mor_Cl_F_OCH3,-8.826
GF_NMP_F_Cl_NH2,-8.814
GF_NMP_F_F_NO2,-8.813
GF_NMP_F_F_OH,-8.813
GF_Pip_OH_OH_NH2,-8.809
GF_Pip_OH_OH_OH,-8.798
GF_Pip_Cl_Cl_OH,-8.791
GF_Pip_OH_Br_NH2,-8.791
GF_Pip_F_Cl_OH,-8.784
GF_NMP_F_Cl_OH,-8.782
GF_NMP_OH_Cl_OH,-8.779
GF_Pip_Cl_F_NH2,-8.77
GF_Pip_F_Cl_NH2,-8.761
GF_Pip_Cl_F_OH,-8.755
GF_Pip_Cl_Cl_NH2,-8.754
GF_NMP_OH_H_NO2,-8.748
GF_Pip_OH_H_OH,-8.724
GF_Mor_OH_F_OH,-8.714
GF_Mor_OH_F_NO2,-8.711
GF_Mor_OH_F_NH2,-8.707
GF_NMP_F_OH_NO2,-8.704
GF_Pip_OH_Cl_NH2,-8.703
GF_Mor_H_F_NO2,-8.696
GF_NMP_OH_H_NH2,-8.673
GF_NMP_OH_H_OH,-8.659
GF_NMP_Cl_F_NH2,-8.649
GF_Pip_Br_F_OCH3,-8.649
GF_Pip_OH_Cl_OH,-8.636
GF_Pip_H_Cl_NO2,-8.635
GF_Pip_Br_F_NH2,-8.62
GF_NMP_Cl_F_OH,-8.617
GF_Pip_H_Cl_OH,-8.612
GF_NMP_F_OH_OH,-8.606
GF_Pip_F_OH_OH,-8.606
GF_Pip_OH_Br_OH,-8.59
GF_Pip_Br_F_OH,-8.573
GF_Mor_Cl_H_OCH3,-8.56
GF_NMP_F_OH_NH2,-8.556
GF_Pip_F_H_NH2,-8.555
GF_Mor_F_Br_OH,-8.551
GF_Pip_F_H_OH,-8.55
GF_Mor_F_F_NO2,-8.532
GF_Mor_F_Br_NH2,-8.527
GF_NMP_H_F_NH2,-8.526
GF_Pip_H_Cl_NH2,-8.526
GF_Mor_Cl_F_OH,-8.521
GF_NMP_H_F_OH,-8.517
GF_Mor_F_F_NH2,-8.51
GF_Mor_Cl_F_NH2,-8.507
GF_Mor_H_F_OCH3,-8.495
GF_Mor_H_F_OH,-8.478
GF_Mor_F_F_OH,-8.456
GF_Pip_F_OH_NH2,-8.456
GF_Mor_H_F_NH2,-8.413
GF_Pip_Cl_OH_NH2,-8.411
GF_Pip_Cl_OH_OH,-8.336
GF_Pip_Cl_H_NH2,-8.311
GF_Pip_Cl_H_OH,-8.299
GF_Mor_Cl_H_NH2,-8.165
GF_Mor_Cl_H_OH,-8.136
GF_Mor_F_Br_OCH3,-7.238
